Tanggal,Stock Code,Close,Volume,Offer Volume,Bid Volume,Foreign Sell,Foreign Buy,Kurs
9/3/2018,BTON,152 ,114100 ,3300 ,21900 ,0 ,0 ,13863 
9/3/2018,BTPN,3410 ,153100 ,7000 ,21100 ,83600 ,11800 ,13863 
9/3/2018,BUDI,106 ,2514500 ,245100 ,12900 ,2000000 ,584000 ,13863 
9/3/2018,BUKK,1730 ,100 ,1700 ,200 ,100 ,0 ,13863 
9/3/2018,BULL,218 ,2213600 ,20100 ,241800 ,83800 ,0 ,13863 
9/3/2018,BUMI,296 ,286969100 ,8327500 ,7818800 ,15881600 ,16360300 ,13863 
9/3/2018,BUVA,585 ,100 ,7400 ,5000 ,0 ,0 ,13863 
9/3/2018,BVIC,246 ,2833100 ,300 ,10100 ,0 ,0 ,13863 
9/3/2018,BWPT,220 ,26015700 ,2317700 ,465000 ,18000 ,755300 ,13863 
9/3/2018,BYAN,10750 ,2000 ,2200 ,800 ,2000 ,100 ,13863 
9/3/2018,CAMP,580 ,1524300 ,57600 ,6700 ,0 ,64300 ,13863 
9/3/2018,CANI,332 ,15700 ,5100 ,200 ,0 ,0 ,13863 
9/3/2018,CARS,1420 ,19000 ,11600 ,4100 ,0 ,0 ,13863 
9/3/2018,CASA,300 ,377900 ,48200 ,145500 ,90400 ,0 ,13863 
9/3/2018,CASS,700 ,13400 ,488000 ,3000 ,0 ,0 ,13863 
9/3/2018,CEKA,1360 ,1000 ,20000 ,3000 ,0 ,100 ,13863 
9/3/2018,CENT,91 ,1014200 ,7300 ,212100 ,210000 ,0 ,13863 
9/3/2018,CFIN,326 ,138700 ,8200 ,10200 ,0 ,0 ,13863 
9/3/2018,CINT,332 ,5222900 ,19500 ,21500 ,15100 ,0 ,13863 
9/3/2018,CITA,600 ,600 ,4500 ,10000 ,0 ,0 ,13863 
9/3/2018,CKRA,72 ,46500 ,76800 ,100 ,0 ,0 ,13863 
9/3/2018,CLEO,925 ,1261400 ,96100 ,32800 ,0 ,0 ,13863 
9/3/2018,CLPI,890 ,69500 ,10000 ,10500 ,0 ,49800 ,13863 
9/3/2018,CMNP,1490 ,88800 ,1500 ,1500 ,600 ,18000 ,13863 
9/3/2018,CMPP,332 ,116000 ,7000 ,110900 ,0 ,0 ,13863 
9/3/2018,CNKO,50 ,7700 ,25347100 ,0 ,0 ,0 ,13863 
9/3/2018,CNTB,250 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,CNTX,476 ,500 ,400 ,3000 ,0 ,500 ,13863 
9/3/2018,COWL,785 ,2231500 ,11400 ,39200 ,0 ,0 ,13863 
9/3/2018,CPIN,3270 ,3170100 ,527600 ,128200 ,514100 ,997700 ,13863 
9/3/2018,CPRO,50 ,2200 ,113576600 ,0 ,0 ,0 ,13863 
9/3/2018,CSAP,515 ,1100 ,500 ,1000000 ,0 ,0 ,13863 
9/3/2018,CSIS,1315 ,400 ,6900 ,900 ,0 ,0 ,13863 
9/3/2018,CTBN,4400 ,300 ,100000 ,700 ,0 ,0 ,13863 
9/3/2018,CTRA,1245 ,4446800 ,239400 ,78000 ,1651800 ,1638400 ,13863 
9/3/2018,CTTH,125 ,160100 ,24300 ,4200 ,0 ,0 ,13863 
9/3/2018,DAJK,50 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,DART,310 ,2800 ,2000 ,100 ,0 ,0 ,13863 
9/3/2018,DAYA,186 ,10000 ,40000 ,1200000 ,0 ,0 ,13863 
9/3/2018,DEFI,1325 ,14600 ,0 ,178300 ,0 ,2000 ,13863 
9/3/2018,DEWA,51 ,168454700 ,16560600 ,1711000 ,349000 ,2501400 ,13863 
9/3/2018,DGIK,66 ,3777200 ,241500 ,2960900 ,23900 ,23900 ,13863 
9/3/2018,DILD,348 ,2348200 ,267800 ,79000 ,492000 ,487100 ,13863 
9/3/2018,DKFT,378 ,379400 ,100000 ,46100 ,0 ,8900 ,13863 
9/3/2018,DLTA,4990 ,105400 ,500 ,44600 ,0 ,105400 ,13863 
9/3/2018,DMAS,177 ,25802600 ,760800 ,416700 ,333600 ,13706700 ,13863 
9/3/2018,DNAR,300 ,14100 ,5100 ,200 ,0 ,0 ,13863 
9/3/2018,DNET,2300 ,5000 ,100 ,5000 ,0 ,0 ,13863 
9/3/2018,DOID,985 ,21360900 ,279600 ,40700 ,6204400 ,1128000 ,13863 
9/3/2018,DPNS,348 ,3200 ,800 ,1000 ,0 ,0 ,13863 
9/3/2018,DPUM,300 ,29000 ,215400 ,4000 ,0 ,0 ,13863 
9/3/2018,DSFI,106 ,959300 ,200000 ,195700 ,0 ,50000 ,13863 
9/3/2018,DSNG,470 ,8040300 ,50000 ,33000 ,30000 ,1030000 ,13863 
9/3/2018,DSSA,13000 ,0 ,200 ,1000 ,0 ,0 ,13863 
9/3/2018,DUTI,5400 ,0 ,10000 ,0 ,0 ,0 ,13863 
9/3/2018,DVLA,2000 ,121300 ,4100 ,2600 ,20400 ,0 ,13863 
9/3/2018,DWGL,230 ,519700 ,71900 ,100 ,0 ,3000 ,13863 
9/3/2018,DYAN,67 ,2437300 ,590600 ,165000 ,0 ,0 ,13863 
9/3/2018,ECII,880 ,475700 ,11200 ,2300 ,230800 ,0 ,13863 
9/3/2018,EKAD,700 ,120000 ,85800 ,45100 ,0 ,34700 ,13863 
9/3/2018,ELSA,480 ,33899600 ,226200 ,205100 ,731200 ,1161700 ,13863 
9/3/2018,ELTY,50 ,512300 ,320277100 ,0 ,0 ,100 ,13863 
9/3/2018,EMDE,258 ,115000 ,113500 ,13400 ,0 ,0 ,13863 
9/3/2018,EMTK,8525 ,5500 ,15100 ,1000 ,0 ,0 ,13863 
9/3/2018,ENRG,238 ,140713100 ,804700 ,2999600 ,2811200 ,19421000 ,13863 
9/3/2018,EPMT,2580 ,200 ,600 ,1600 ,0 ,0 ,13863 
9/3/2018,ERAA,1255 ,49922100 ,207300 ,1815700 ,8795900 ,164700 ,13863 
9/3/2018,ERTX,129 ,90400 ,400 ,11500 ,0 ,0 ,13863 
9/3/2018,ESSA,334 ,28833800 ,950600 ,746100 ,1750900 ,625600 ,13863 
9/3/2018,ESTI,78 ,88800 ,20000 ,73800 ,0 ,0 ,13863 
9/3/2018,ETWA,63 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,EXCL,2750 ,4662200 ,23100 ,1600 ,2870600 ,2048000 ,13863 
9/3/2018,FAST,1450 ,700 ,700 ,200 ,0 ,700 ,13863 
9/3/2018,FASW,5825 ,616200 ,6200 ,2700 ,0 ,0 ,13863 
9/3/2018,FINN,125 ,1899900 ,53100 ,264800 ,0 ,0 ,13863 
9/3/2018,FIRE,1430 ,0 ,100 ,300 ,0 ,0 ,13863 
9/3/2018,FISH,2420 ,1100 ,2100 ,1900 ,0 ,0 ,13863 
9/3/2018,FMII,635 ,2231900 ,13100 ,3800 ,0 ,0 ,13863 
9/3/2018,FORU,161 ,354000 ,900 ,18800 ,0 ,0 ,13863 
9/3/2018,FORZ,815 ,14639500 ,124400 ,1500 ,0 ,0 ,13863 
9/3/2018,FPNI,204 ,3061700 ,108000 ,800000 ,0 ,0 ,13863 
9/3/2018,FREN,50 ,1600 ,6161300 ,0 ,0 ,0 ,13863 
9/3/2018,GAMA,52 ,999800 ,935500 ,200 ,0 ,0 ,13863 
9/3/2018,GDST,86 ,2451800 ,10600 ,186700 ,0 ,0 ,13863 
9/3/2018,GDYR,1900 ,2000 ,100 ,300 ,0 ,0 ,13863 
9/3/2018,GEMA,1250 ,50500 ,22200 ,1000 ,0 ,0 ,13863 
9/3/2018,GEMS,2550 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,GGRM,78300 ,638700 ,6500 ,1200 ,357500 ,296100 ,13863 
9/3/2018,GIAA,304 ,3130800 ,99500 ,931000 ,636300 ,143900 ,13863 
9/3/2018,GJTL,760 ,3008800 ,26300 ,743800 ,779800 ,24700 ,13863 
9/3/2018,GLOB,456 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,GMCW,860 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,GMFI,376 ,1176300 ,300000 ,55600 ,56300 ,547800 ,13863 
9/3/2018,GMTD,12000 ,0 ,500 ,500 ,0 ,0 ,13863 
9/3/2018,GOLD,458 ,200 ,600 ,3000 ,0 ,0 ,13863 
9/3/2018,GOLL,96 ,1130100 ,20000 ,200 ,0 ,0 ,13863 
9/3/2018,GPRA,112 ,4918500 ,1003000 ,16000 ,0 ,0 ,13863 
9/3/2018,GREN,328 ,0 ,0 ,0 ,0 ,0 ,13863 
9/3/2018,GSMF,135 ,119200 ,5000 ,399600 ,0 ,0 ,13863 
9/3/2018,GTBO,272 ,143600 ,15000 ,22800 ,0 ,0 ,13863 
9/3/2018,GWSA,158 ,424900 ,1000 ,19600 ,402600 ,0 ,13863 
9/3/2018,GZCO,66 ,9671300 ,1502300 ,2524400 ,0 ,0 ,13863 
9/3/2018,HADE,50 ,101200 ,627900 ,0 ,0 ,0 ,13863 
9/3/2018,HDFA,195 ,1000 ,25200 ,7000 ,0 ,0 ,13863 
9/3/2018,HDTX,328 ,0 ,400 ,5000 ,0 ,0 ,13863 
9/3/2018,HERO,905 ,800 ,900 ,800 ,0 ,0 ,13863 
9/3/2018,HEXA,3100 ,38900 ,5000 ,100 ,3000 ,2000 ,13863 
9/3/2018,HITS,720 ,2000 ,5000 ,2000 ,0 ,0 ,13863 
9/3/2018,HMSP,4400 ,23646400 ,1088900 ,623100 ,13915400 ,6183200 ,13863 
9/3/2018,HOKI,535 ,27104900 ,2478200 ,1482400 ,25000 ,769000 ,13863 
9/3/2018,HOME,140 ,47877700 ,75100 ,308500 ,30000 ,30200 ,13863 
9/3/2018,HOTL,101 ,1832200 ,95000 ,25000 ,234600 ,48900 ,13863 
9/3/2018,HRTA,284 ,1361000 ,512100 ,49300 ,29000 ,0 ,13863 
9/3/2018,HRUM,2740 ,10666800 ,2449300 ,372200 ,2367100 ,2295300 ,13863 
9/3/2018,IATA,50 ,1700 ,24720100 ,0 ,0 ,0 ,13863 
9/3/2018,IBFN,77 ,530600 ,43600 ,478100 ,0 ,0 ,13863 
